traj #,traj frame,x,y,z,intensity,area,frame1
3900,0,23.0,88.0,32.0,564120.4,181.0,23.0
3901,0,24.0,34.0,12.0,564110.1,181.0,24.0
3902,0,114.0,71.0,21.0,564104.7,181.0,114.0
3903,0,24.0,91.0,16.0,564104.5,181.0,24.0
3904,0,109.0,78.0,6.0,564092.06,181.0,109.0
3905,0,96.0,101.0,31.0,564070.75,181.0,96.0
3906,0,43.0,107.0,22.0,564060.94,181.0,43.0
3907,0,46.0,18.0,14.0,564037.5,181.0,46.0
3908,0,114.0,56.0,19.0,564026.4,181.0,114.0
3909,0,27.0,37.0,4.0,564006.0,181.0,27.0
3910,0,76.0,15.0,19.0,564001.44,181.0,76.0
3911,0,18.0,81.0,32.0,563980.1,181.0,18.0
3912,0,68.0,15.0,28.0,563977.56,181.0,68.0
3913,0,115.0,61.0,18.0,563965.94,181.0,115.0
3914,0,113.0,76.0,19.0,563951.0,181.0,113.0
3915,0,114.0,63.0,21.0,563940.06,181.0,114.0
3916,0,16.0,58.0,5.0,563935.0,181.0,16.0
3917,0,52.0,111.0,11.0,563918.06,181.0,52.0
3918,0,103.0,36.0,32.0,563914.56,181.0,103.0
3919,0,85.0,20.0,10.0,563910.4,181.0,85.0
3920,0,104.0,88.0,37.0,563903.2,181.0,104.0
3921,0,90.0,25.0,37.0,563893.2,181.0,90.0
3922,0,98.0,98.0,14.0,563879.3,181.0,98.0
3923,0,82.0,109.0,17.0,563845.06,181.0,82.0
3924,0,50.0,112.0,22.0,563839.0,181.0,50.0
3925,0,86.0,108.0,17.0,563829.6,181.0,86.0
3926,0,18.0,81.0,17.0,563758.6,181.0,18.0
3927,0,101.0,32.0,17.0,563722.9,181.0,101.0
3928,0,110.0,53.0,36.0,563713.0,181.0,110.0
3929,0,56.0,18.0,5.0,563700.4,181.0,56.0
3930,0,98.0,27.0,21.0,563688.1,181.0,98.0
3931,0,24.0,85.0,5.0,563683.1,181.0,24.0
3932,0,106.0,39.0,33.0,563678.6,181.0,106.0
3933,0,77.0,17.0,11.0,563674.56,181.0,77.0
